Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
FISH,72.44,128.5,20.475,4.545,1.595,0,0,0,0.025,6.45E-04,0.03,0.2635,0.37,0.1465,5.60E-04,6.40E-05,1.90E-05,3.95E-05,0,6.60E-05,1.86E-04,0.0061,6.64E-04,2.66E-04,7.00E-06,0,7.00E-06,7.00E-06,0.0879,4.47E-06,2.50E-05,0,0,0,0,0,7.30E-04,2.55E-06,1.00E-07,0.7375,1.063,0.842,0.061,4.71E-05
FISH OIL,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-04,0,26.25,31.439,27.204,0.5455,0
FLAN,74.63,113,2.95,1.72,0.74,18.82,0,0,0.111,6.00E-05,0.012,0.084,0.16,0.113,3.50E-04,1.10E-05,5.00E-06,5.30E-06,7.00E-04,3.10E-05,1.45E-04,7.50E-05,2.82E-04,3.40E-05,4.00E-06,0,4.00E-06,4.00E-06,0,2.60E-07,2.80E-05,0,1.35E-05,0,0,0,0,9.00E-07,0,1.4175,0.6465,0.0875,0.007,3.39E-05
FLATFISH (FLOUNDER&SOLE SP),82.87,78,13.825,2.15,1.355,0,0,0,0.023,2.05E-04,0.02,0.2805,0.1785,0.3295,3.55E-04,2.10E-05,1.55E-05,2.96E-05,0,2.40E-05,2.25E-05,0.001159,2.06E-04,1.07E-04,5.50E-06,0,5.50E-06,5.50E-06,0.07245,1.22E-06,1.10E-05,0,0,0,0,0,7.00E-04,3.15E-06,1.00E-07,0.4915,0.596,0.4165,0.0505,1.05E-05
FLUID REPLCMNT,96.44,10,0,0,0.18,2.45,0,2.45,0.01,0,0.001,0.01,0.077,0.101,2.00E-05,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCACCIA,45.91,249,8.77,7.89,1.6,35.82,1.8,1.75,0.035,0.00316,0.02,0.128,0.114,0.561,0.00133,9.10E-05,3.64E-04,1.59E-05,0,4.70E-04,3.01E-04,0.00367,6.45E-04,1.13E-04,1.38E-04,5.40E-05,8.40E-05,1.75E-04,0.0029,0,0,0,1.00E-06,0,0,4.20E-05,0.00142,0,5.70E-06,0.877,5.67,0.994,0,6.00E-07
FORM BAR,14.045,384.5,13.105,13.59,3.535,54.475,3.7,30.035,1.08,0.002905,0.1675,0.3775,0.25,0.339,0.008525,7.74E-04,8.46E-04,3.90E-06,0.08125,0.0017385,0.0023955,0.028182,0.011591,0.001682,2.28E-04,2.28E-04,0,3.86E-04,0.073,4.14E-06,0.00105,0,0,0,0,2.00E-06,0.024285,0,1.60E-06,4.4125,3.828,4.804,0.0025,4.82E-04
FORMBAR,9,415,25,12.5,3,50.5,12.5,28.75,0.625,0.01013,0.175,0.375,0.188,0.238,0.00656,9.77E-04,0.001322,3.90E-06,0.075,0.001875,0.002125,0.025,0.0125,0.0025,5.00E-04,5.00E-04,0,8.50E-04,0.0017,7.50E-06,6.51E-04,0,1.00E-05,0,0,0,0.01688,3.80E-06,1.04E-05,6.25,2.645,2.892,0.006,6.56E-04
FORMUL BAR,14,386,21.91,10.79,3,50.3,6.7,28.71,0.754,0.01631,0.317,0.455,0.351,0.383,0.01188,4.52E-04,0.001058,4.50E-06,0.4899,0.002949,0.003343,0.045249,0.022624,0.004525,8.16E-04,4.08E-04,4.08E-04,0.001102,0.018,1.22E-05,6.20E-05,0,0,0,0,0,0.02753,4.50E-06,1.80E-06,4.753,3.92,1.917,0.004,6.27E-05
FORMULAT BAR,11.75,360.5,22.425,8.43,4,53.385,10.75,24.465,1.495,0.01805,0.317,0.566,0,0.3255,0.012725,4.52E-04,0,0,0.1763,0.003394,0.003846,0.045249,0.022624,0.004525,9.05E-04,9.04E-04,0,0.0015375,0,1.36E-05,0,0,0,0,0,0,0.0305,4.50E-06,0,4.664,0,0,0.004,0.0013344
