Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
SOUP,86.695,56,2.345,1.56,1.33,6.9,0.6,1.265,0.014,4.50E-04,0.007,0.033,0.125,0.3765,3.00E-04,7.00E-05,1.32E-04,2.95E-06,6.00E-04,2.70E-05,3.90E-05,5.41E-04,1.40E-04,3.75E-05,5.00E-06,0,4.00E-06,5.00E-06,0.0087,6.00E-08,0,0,1.17E-04,0,0,1.70E-05,2.30E-04,0,1.60E-06,0.5,0.52,0.28,0.003,6.05E-05
SOUR CREAM,78.1,136,3.5,10.6,0.7,7.1,0,0.3,0.141,6.00E-05,0.01,0.085,0.211,0.083,5.00E-04,1.60E-05,0,4.10E-06,9.00E-04,4.00E-05,1.50E-04,7.00E-05,0,2.00E-05,1.10E-05,0,1.10E-05,1.10E-05,0.0192,3.00E-07,8.80E-05,0,2.10E-05,0,0,0,3.00E-04,2.00E-07,5.00E-07,6.6,3.1,0.4,0.035,9.84E-05
SOUR CRM,71.15,208,2.4,19.52,0.3,6.63,0,6.63,0.003,3.90E-04,0.006,0.045,0.161,0.102,0.00118,5.80E-05,1.10E-04,2.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40E-04,0,4.80E-06,17.791,0.588,0.056,0,0
SOUR DRSNG,74.79,178,3.25,16.57,0.71,4.68,0,4.68,0.113,3.00E-05,0.01,0.087,0.162,0.048,3.70E-04,1.00E-05,2.00E-06,2.30E-06,9.00E-04,3.80E-05,1.63E-04,7.40E-05,3.98E-04,1.70E-05,1.20E-05,0,1.20E-05,1.20E-05,0.0149,3.30E-07,3.00E-06,0,0,0,0,0,0.00134,0,4.10E-06,13.272,1.958,0.468,0.005,3.00E-06
SOURDOCK,89.7,42,2.3,0.7,0.8,6.5,0,0,0.002,8.00E-04,0,0.055,0,0,0,0,0,0,0.068,9.00E-05,5.40E-04,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357
SOURSOP,81.16,66,1,0.3,0.7,16.84,3.3,13.54,0.014,6.00E-04,0.021,0.027,0.278,0.014,1.00E-04,8.60E-05,0,6.00E-07,0.0206,7.00E-05,5.00E-05,9.00E-04,2.53E-04,5.90E-05,1.40E-05,0,1.40E-05,1.40E-05,0.0076,0,0,0,1.00E-06,0,0,0,8.00E-05,0,4.00E-07,0.051,0.09,0.069,0,6.00E-07
SOY FLOUR,5.16,372,49.81,8.9,6.04,31.92,16,9.33,0.241,0.0082,0.29,0.674,2.384,0.013,0.00392,0.00292,0.003018,7.50E-06,0,6.98E-04,2.80E-04,0.00295,0.00159,5.74E-04,3.05E-04,0,3.05E-04,3.05E-04,0.1906,0,0,0,2.40E-05,0,0,0,5.50E-04,0,4.10E-06,1.29,1.46,4.215,0,1.20E-05
SOY FLR,3.81,439,38.09,21.86,5.86,30.38,9.7,7.61,0.188,0.00582,0.369,0.476,2.041,0.012,0.00358,0.002221,0.002077,7.50E-06,0,4.12E-04,9.41E-04,0.003286,0.001209,3.51E-04,2.27E-04,0,2.27E-04,2.27E-04,0,0,0,0,7.30E-05,0,0,0,0.00198,0,7.10E-05,3.162,4.829,12.341,0,3.66E-05
SOY MEAL,6.94,337,49.2,2.39,5.58,35.89,0,0,0.244,0.0137,0.306,0.701,2.49,0.003,0.00506,0.002,0.0038,3.30E-06,0,6.91E-04,2.51E-04,0.002587,0.001976,5.69E-04,3.03E-04,0,3.03E-04,3.03E-04,0,0,0,0,0,0,0,0,0,0,0,0.268,0.409,1.045,0,1.20E-05
SOY PROT CONC,5.8,328,63.63,0.46,4.7,25.41,5.5,20,0.363,0.01078,0.2275,0.839,1.326,0.4515,0.0044,9.76E-04,0.00419,8.00E-07,0,3.16E-04,1.42E-04,7.16E-04,5.70E-05,1.34E-04,3.40E-04,0,3.40E-04,3.40E-04,0,0,0,0,0,0,0,0,0,0,0,0.052,0.079,0.201,0,0
SOY PROT ISOLATE,4.98,321,88.32,0.53,3.58,2.59,0,0,0.178,0.0145,0.039,0.776,1.59,0.05,0.00403,0.001599,0.001493,8.00E-07,0,1.76E-04,1.00E-04,0.001438,6.00E-05,1.00E-04,1.76E-04,0,1.76E-04,1.76E-04,0.1909,0,0,0,0,0,0,0,0,0,0,0.077,0.117,0.299,0,0
SOY SAU,63.33,90,8.19,0.31,13.74,14.44,0.3,5.63,0.011,4.30E-04,0.034,0.089,3.098,2.89,2.50E-04,4.90E-05,1.51E-04,9.00E-07,0,3.00E-05,4.30E-05,4.53E-04,1.48E-04,3.70E-05,4.00E-06,0,4.00E-06,0,0.0316,0,0,0,0,0,0,0,0,0,0,0.02,0.032,0.089,0,0
SOY SAU MADE FROM SOY&WHEAT (SHOYU),75.14,57,9.05,0.3,9.92,5.59,0.7,0.5,0.03,0.00135,0.069,0.166,0.352,3.598,7.90E-04,4.90E-05,0.001008,5.00E-07,0,4.00E-05,2.40E-04,0.00114,4.25E-04,1.60E-04,4.40E-05,0,4.40E-05,4.40E-05,0.0308,0,0,0,0,0,0,0,4.10E-04,0,0,0.035,0.042,0.138,0,0
SOYBEAN,70.9,151,12.5,8.1,1.6,6.9,0,1.6,0.188,0.0056,0.228,0.222,0.199,0.02,0.00172,3.80E-04,8.89E-04,1.68E-05,0,0,1.40E-04,5.00E-04,1.16E-04,7.00E-05,2.20E-05,0,2.20E-05,2.20E-05,0.0625,0,0,0,2.50E-05,0,0,0,6.00E-04,0,4.60E-06,1.172,1.789,4.572,0,1.26E-05
SOYBEANS,67.2,144,13.1,7.1,1.91,10.31,4.2,2.68,0.12,0.003025,0.086,0.216,0.553,0.014,0.00116,4.17E-04,8.24E-04,1.45E-06,0.0083,2.60E-04,1.65E-04,0.001124,4.63E-04,1.72E-04,1.27E-04,0,1.27E-04,1.27E-04,0.0817,0,0,0,1.20E-05,0,0,0,3.50E-04,0,3.70E-05,0.985,1.609,4.009,0,5.85E-06
SOYMILK,88.38,45.5,2.425,1.16,0.645,7.26,0.4,3.82,0.123,4.70E-04,0.015,0.0695,0.12,0.052,2.30E-04,1.99E-04,7.40E-05,2.30E-06,0,3.70E-05,1.93E-04,5.12E-04,1.04E-04,3.70E-05,9.00E-06,0,9.00E-06,9.00E-06,0.0236,7.00E-07,6.10E-05,0,2.00E-06,0,0,0,1.10E-04,1.00E-06,3.00E-06,0.1415,0.321,0.697,0,6.15E-05
SOYMILK (ALL FLAVORS),91.825,38,2.665,1.115,0.64,3.795,0.45,3.015,0.12,4.50E-04,0.013,0.062,0.1125,0.0435,1.70E-04,1.23E-04,0,2.05E-06,0,6.20E-05,1.99E-04,3.23E-04,8.20E-05,4.90E-05,1.95E-05,0,1.95E-05,7.00E-06,0.0179,6.55E-07,6.10E-05,0,1.00E-06,0,0,0,0.0013,1.10E-06,2.30E-06,0.103,0.299,0.7105,0,6.20E-05
SPAGHETTI,59.73,164,8.86,1.57,1.12,30.88,2.55,2.815,0.03,0.00104,0.062,0.108,0.201,0.014,0.00108,2.05E-04,9.10E-04,2.37E-05,0,2.98E-04,1.61E-04,0.002017,2.93E-04,9.60E-05,4.80E-05,1.30E-05,1.20E-05,4.80E-05,0.0138,0,0,7.50E-06,2.09E-04,0,0.0017265,0.0017825,6.20E-04,0,7.67E-05,0.226,0.181,0.563,0,4.56E-05
SPAGHETTI W/ MEAT SAU,77.82,90,5.05,1.01,0.88,15.24,1.8,2.6,0.018,0.00125,0.015,0.049,0.144,0.238,5.10E-04,1.25E-04,2.13E-04,1.19E-05,0.0054,1.22E-04,0.001333,1.77E-04,7.10E-05,7.00E-05,4.60E-05,3.70E-05,9.00E-06,7.20E-05,0.0122,6.00E-08,0,0,1.04E-04,0,0.0032,7.00E-06,5.00E-04,0,7.00E-07,0.35,0.33,0.32,0.006,5.22E-05
SPAGHETTIOS,78.55,91,3.97,2.58,2.405,12.7,1.6,3.37,0.06,0.00125,0.0145,0.079,0.3075,0.238,5.40E-04,0,0,0,0.0024,6.00E-05,8.40E-05,0.00119,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-07,0,0.992,1.091,0.397,0.008,5.94E-05
SPANISH RICE MIX,38.765,244,6.945,2,2.695,49.595,2.3,2.81,0.0235,0.00217,0.025,0.0955,0.315,0.717,6.65E-04,1.26E-04,5.06E-04,2.14E-05,0,5.55E-04,2.12E-04,0.004813,4.20E-04,1.72E-04,1.15E-04,0,0,0,0,0,0,5.00E-07,1.85E-04,3.55E-05,0.0026285,1.74E-04,7.65E-04,0,2.80E-06,0.391,0.5875,0.7355,0,1.02E-04
SPEARMINT,48.425,164.5,11.61,3.38,6.365,30.225,18.3,0,0.8435,0.04967,0.3325,0.168,1.191,0.187,0.00175,8.91E-04,0.0063,0,0.00665,1.83E-04,7.98E-04,0.0037545,8.25E-04,0.0013685,3.17E-04,0,3.17E-04,3.17E-04,0,0,0,0,0,0,0,0,0,0,0,0.884,0.1175,1.8255,0,0.00219495
SPELT,38.79,232.5,10.035,1.64,1.215,48.315,7.3,6.82,0.0185,0.003055,0.0925,0.2755,0.2655,0.0065,0.002265,3.63E-04,0.002037,7.85E-06,0,2.33E-04,7.15E-05,0.0047065,0.001068,1.55E-04,2.90E-05,0,2.90E-05,2.90E-05,0,0,0,0,5.00E-06,0,0,1.69E-04,5.25E-04,0,3.60E-06,0.406,0.445,1.258,0,2.10E-06
SPICES,7.79,295,10.76,7.24,7.87,63.94,28,2.9,1.139,0.0368,0.27,0.201,1.119,0.025,0.00608,6.45E-04,0.007967,4.45E-06,0.021,1.98E-04,4.21E-04,0.004733,8.38E-04,0.001044,2.56E-04,0,2.56E-04,2.56E-04,0.04925,0,0,1.00E-05,6.93E-04,1.55E-05,0,0.0015225,0.00909,0,0.0011681,1.989,0.87,1.369,0,5.10E-04
SPINACH,91.21,23,2.97,0.39,1.43,3.75,2.4,0.43,0.129,0.00196,0.079,0.049,0.346,0.097,4.90E-04,1.61E-04,7.17E-04,1.50E-06,0.0098,7.80E-05,1.76E-04,4.39E-04,7.50E-05,1.36E-04,1.21E-04,0,1.21E-04,1.21E-04,0.0197,0,0,0,0.006288,0,0,0.011308,0.00208,0,4.83E-04,0.06,0.006,0.155,0,0.0031443
SPINY LOBSTER,70.415,127.5,23.505,1.725,1.585,2.775,0,0,0.056,0.001315,0.0455,0.2335,0.194,0.202,0.00647,3.98E-04,1.65E-05,5.27E-05,0.00205,8.00E-06,5.10E-05,0.0045715,3.77E-04,1.61E-04,1.00E-06,0,1.00E-06,1.00E-06,0,3.77E-06,5.50E-06,0,0,0,0,0,0,0,0,0.27,0.314,0.673,0.08,5.55E-06
SPLIT PEA SOUP,82.4,71,3.85,0.92,1,11.83,1.9,5.06,0.017,7.70E-04,0.014,0.054,0.183,0.166,4.00E-04,1.10E-04,2.00E-04,3.00E-07,0,7.00E-05,2.90E-05,4.57E-04,2.37E-04,7.30E-05,2.00E-05,0,2.00E-05,2.00E-05,0.0182,1.00E-08,0,3.50E-05,3.13E-04,1.00E-06,7.00E-06,0.001286,2.00E-04,0,3.61E-05,0.3,0.37,0.168,0.002,1.66E-04
SPLIT PEA W/ HAM SOUP,82.8,68,4,0.7,1,11.4,1.9,1.57,0.016,7.00E-04,0.014,0.054,0.204,0.196,4.90E-04,1.00E-04,1.98E-04,3.00E-07,0.001,8.30E-05,3.80E-05,6.95E-04,2.50E-04,4.80E-05,2.90E-05,0,2.90E-05,2.90E-05,0.0223,3.00E-08,0,9.00E-05,2.01E-04,5.00E-06,0,1.80E-05,6.00E-05,0,2.60E-06,0.294,0.282,0.135,0.003,1.25E-04
SPOT,72.56,140.5,21.12,5.59,1.21,0,0,0,0.016,3.65E-04,0.048,0.212,0.566,0.033,5.80E-04,5.25E-05,4.00E-05,4.16E-05,0,1.73E-04,2.44E-04,0.007763,8.08E-04,4.31E-04,5.50E-06,0,5.50E-06,5.50E-06,0,3.23E-06,3.25E-05,0,0,0,0,0,0,0,0,1.6545,1.518,1.244,0.0685,3.23E-05
SQUAB,72.8,142,18.47,7.5,1.28,0,0,0,0.012,0.00354,0.025,0.248,0.237,0.054,0.0027,4.37E-04,1.90E-05,1.35E-05,0.0052,2.40E-04,2.43E-04,0.00686,7.87E-04,5.30E-04,6.00E-06,0,6.00E-06,6.00E-06,0,4.70E-07,2.80E-05,0,0,0,0,0,0,0,0,1.96,2.66,1.6,0.09,2.82E-05
SQUASH,92.24,27,1.04,0.2,0.69,6.46,1.4,2.48,0.02,4.70E-04,0.019,0.028,0.2315,0.0055,2.05E-04,6.50E-05,1.73E-04,3.00E-07,0.00815,4.40E-05,3.00E-05,5.07E-04,2.74E-04,1.03E-04,1.90E-05,0,1.90E-05,1.90E-05,0.0087,0,0,0,2.20E-04,0,0,2.50E-04,1.20E-04,0,3.30E-06,0.04,0.013,0.082,0,1.28E-04
SQUID,71.545,133.5,16.76,4.43,1.5,5.435,0,0,0.0355,8.45E-04,0.0355,0.236,0.2625,0.175,0.001635,0.0020025,5.25E-05,4.83E-05,0.00445,3.80E-05,4.35E-04,0.0023885,5.05E-04,5.70E-05,9.50E-06,4.50E-06,5.00E-06,1.25E-05,0.065,1.27E-06,1.05E-05,0,0,0,0,0,0.0012,0,0,1.118,1.428,1.33,0.2465,1.02E-05
SQUIRREL,75.4,111,19.3,3.8,1.5,0,0,0,0,0.0047,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60E-05
STEELHEAD TROUT,38.54,270.5,49.19,8.16,5.91,0,0,0,0.0575,0.0018,0.0545,0.6125,1.0425,1.484,0.00118,1.38E-04,4.50E-05,6.55E-05,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,4.20E-05,0,0,0,0,0,0.00228,1.54E-05,0,1.1795,1.7255,1.482,0.143,4.17E-05
STEW,80.395,92,7.665,2.905,0.505,7.65,1.7,0.21,0.013,0.001155,0.0155,0.0725,0.109,0.0475,0.00137,5.00E-05,8.80E-05,5.00E-06,0,3.00E-05,8.55E-05,0.00175,2.00E-04,6.60E-05,9.00E-06,0,9.00E-06,0,0,8.20E-07,0,0,0,0,0,1.00E-06,3.70E-04,0,7.00E-07,1.168,1.197,0.2805,0.0205,0
STEW/SOUP,90,41,3.8,0.7,0.7,4.8,0.1,0,0.007,2.00E-04,0.005,0.012,0.084,0.072,1.00E-04,3.00E-05,8.00E-05,0,0.0015,2.00E-05,1.00E-05,2.70E-04,1.00E-04,6.00E-05,3.00E-06,0,3.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,4.82E-04
STINGING NETTLES,87.67,42,2.71,0.11,2.03,7.49,6.9,0.25,0.481,0.00164,0.057,0.071,0.334,0.004,3.40E-04,7.60E-05,7.79E-04,3.00E-07,0,8.00E-06,1.60E-04,3.88E-04,0,1.03E-04,1.40E-05,0,1.40E-05,1.40E-05,0.0174,0,0,1.14E-04,0.00115,0,0,0.004178,0,0,4.99E-04,0,0,0,0,6.03E-04
STRAWBERRIES,78.05,78,0.53,0.14,0.3,21,1.9,18.61,0.013,4.90E-04,0.008,0.013,0.098,0.002,9.00E-05,4.80E-05,2.50E-04,7.00E-07,0.0412,2.10E-05,3.70E-05,3.86E-04,1.08E-04,3.00E-05,1.70E-05,0,1.70E-05,1.70E-05,0.0048,0,0,0,1.60E-05,0,0,2.30E-05,2.40E-04,0,1.90E-06,0.007,0.019,0.068,0,7.80E-06
STRAWBERRY-FLAVOR BEV MIX,0.4,389,0.1,0.2,0.2,99.1,0,95.45,0.004,4.40E-04,0.001,0.005,0.006,0.038,0,0,0,5.00E-07,3.00E-04,3.00E-06,1.10E-04,7.30E-05,1.00E-06,2.00E-06,0,0,0,0,1.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRUDEL,43.5,274,3.3,11.2,0.8,41.1,2.2,25.75,0.015,4.20E-04,0.009,0.033,0.149,0.135,1.90E-04,3.00E-05,1.90E-04,6.10E-06,0.0017,4.00E-05,2.50E-05,3.30E-04,2.70E-04,4.60E-05,2.80E-05,2.20E-05,6.00E-06,4.40E-05,0.0174,2.20E-07,6.00E-06,1.00E-06,5.00E-06,3.00E-06,0,4.20E-05,0.00142,0,2.90E-06,2.044,3.267,5.315,0.006,9.00E-06
STURGEON,69.94,135,20.7,4.4,1.41,0,0,0,0.017,9.00E-04,0.045,0.271,0.364,0.069,5.40E-04,5.00E-05,3.00E-05,1.62E-05,0,8.00E-05,9.00E-05,0.0101,8.70E-04,2.30E-04,1.70E-05,0,1.70E-05,1.70E-05,0.07,2.50E-06,2.63E-04,0,0,0,0,0,5.00E-04,1.29E-05,1.00E-07,1.037,2.356,0.69,0.077,2.63E-04
SUBWAY,62.4,157,10.66,3.15,1.83,21.49,1.2,3.19,0.169,0.00184,0.022,0.118,0.253,0.348,9.60E-04,8.10E-05,2.82E-04,1.70E-05,9.00E-04,2.73E-04,2.43E-04,0.004507,4.35E-04,2.03E-04,6.60E-05,0,0,0,0,2.00E-07,0,0,3.30E-05,0,2.07E-04,7.20E-05,3.80E-04,0,0,0.972,0.932,0.952,0.018,2.10E-05
SUCCOTASH,74.1,93,4.31,0.845,1,19.945,4,2.21,0.0155,9.15E-04,0.0235,0.074,0.28,0.133,4.85E-04,1.44E-04,5.06E-04,6.00E-07,0.0073,8.05E-05,7.00E-05,0.0013165,2.45E-04,1.08E-04,3.30E-05,0,3.30E-05,3.30E-05,0.0291,0,0,9.00E-06,8.20E-05,6.10E-05,0,3.42E-04,1.80E-04,0,2.70E-06,0.157,0.164,0.404,0,6.76E-05
SUCKER,76.85,105.5,19.125,2.645,1.665,0,0,0,0.08,0.001485,0.034,0.2395,0.4335,0.0455,8.55E-04,2.23E-04,6.85E-04,1.44E-05,0,1.10E-05,7.75E-05,0.001331,8.08E-04,2.16E-04,1.60E-05,0,1.60E-05,1.60E-05,0,2.16E-06,5.50E-05,0,0,0,0,0,0,0,0,0.5155,0.8055,0.921,0.047,5.49E-05
SUGAR,0.03,399,0,0,0.17,99.8,0,99.19,0.012,3.70E-04,0.002,0.001,0.029,0.003,3.00E-05,9.00E-06,4.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUGAR-APPLES,73.23,94,2.06,0.29,0.78,23.64,4.4,0,0.024,6.00E-04,0.021,0.032,0.247,0.009,1.00E-04,8.60E-05,0,6.00E-07,0.0363,1.10E-04,1.13E-04,8.83E-04,2.26E-04,2.00E-04,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0.048,0.114,0.04,0,1.80E-06
SUGARS,0.785,383.5,0.05,0,0.23,98.93,0,97.415,0.042,3.85E-04,0.0045,0.0015,0.0675,0.0065,2.00E-05,2.70E-05,3.40E-05,7.00E-07,0,0,1.60E-05,2.00E-05,2.40E-05,1.50E-06,0,0,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNFISH,76.61,101.5,22.135,0.8,1.255,0,0,0,0.0915,0.00137,0.034,0.2055,0.3995,0.0915,0.00177,3.43E-04,7.99E-04,1.44E-05,0.001,8.60E-05,7.75E-05,0.001331,8.08E-04,1.29E-04,1.60E-05,0,1.60E-05,1.60E-05,0,2.16E-06,1.60E-05,0,0,0,0,0,0,0,0,0.1585,0.1335,0.2805,0.0765,1.62E-05
SUNFLOWER SD BUTTER,0.62,617,17.28,55.2,3.58,23.32,5.7,10.54,0.064,0.00412,0.311,0.666,0.576,0.167,0.00489,0.001597,0.002073,1.04E-04,0.0027,5.30E-05,1.63E-04,0.006747,0.001167,5.50E-04,2.37E-04,0,2.37E-04,2.37E-04,0,0,0,0,0,0,0,0,0.02289,0,0,4.678,39.025,9.805,0,1.56E-05
SUNFLOWER SD FLR,7.47,326,48.06,1.61,7.04,35.83,5.2,0,0.114,0.00662,0.346,0.689,0.067,0.003,0.00495,0.001713,0.001975,5.82E-05,0.0013,0.003187,2.66E-04,0.007313,0.006595,7.53E-04,2.22E-04,0,2.22E-04,2.22E-04,0,0,0,0,0,0,0,0,0,0,0,0.138,0.252,0.87,0,1.47E-05
SUNFLOWER SD KRNLS,1.2,592,19.33,51.3,4.4,22.89,10.6,2.73,0.07,0.00428,0.129,1.155,0.491,0.009,0.00529,0.00183,0.00211,7.82E-05,0.0014,3.20E-04,2.80E-04,0.004198,0.007042,8.04E-04,2.37E-04,0,2.37E-04,2.37E-04,0.0551,0,0,0,5.00E-06,0,0,0,0.03517,0,2.70E-06,5.953,9.505,34.294,0,2.70E-06
SUNSHINE,2.3,500,9.25,24.2,0,62.5,2.4,1.1,0.113,0.0041,0.016,0.068,0.1105,0.8235,7.00E-04,0,0,0,0,5.85E-04,3.50E-04,0.0047,0,3.00E-05,1.33E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,5.8,11.7,0.0035,1.18E-04
SUPPER BAKES MEAL,52.4,194,6.5,4.135,3.865,33.1,1.8,4.135,0,0,0,0,0,0.9335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.182,0,0,0.006,0
SUPPER BAKES MEAL KITS,48.8,197,4.8,1.06,3.33,42.55,2,3.19,0,0,0,0,0,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0,0,0.005,0
SUPPER MEAL KITS,52.3,181,5.91,1.18,3.96,36.64,2.4,4.73,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591,0,0,0.006,0
SWAMP CABBAGE,92.47,19,2.6,0.2,1.6,3.14,2.1,0,0.077,0.00167,0.071,0.039,0.312,0.113,1.80E-04,2.30E-05,1.60E-04,9.00E-07,0.055,3.00E-05,1.00E-04,9.00E-04,1.41E-04,9.60E-05,5.70E-05,0,5.70E-05,5.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189
SWAMP CABBAGE (SKUNK CABBAGE),92.93,20,2.08,0.24,1.05,3.7,1.9,0,0.054,0.00132,0.03,0.042,0.284,0.24,1.60E-04,2.10E-05,1.43E-04,9.00E-07,0.016,5.00E-05,8.00E-05,5.00E-04,1.26E-04,8.10E-05,3.50E-05,0,3.50E-05,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0.039,0.007,0.1,0,0.00156
SWANSON,80.45,82,4.575,4.04,4.065,6.875,0.75,0.74,0.008,1.45E-04,0,0,0,0.4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.498,0,0,0.0105,6.81E-05
SWANSON BROTH,98.2,5,0,0,0.52,1.28,0,0.85,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39E-05
SWEET POTATO,75.335,94,1.64,0.15,0.87,21.575,2.5,6.11,0.03,7.05E-04,0.021,0.044,0.2835,0.047,2.55E-04,1.61E-04,5.02E-04,6.00E-07,0.01065,6.10E-05,5.35E-05,5.55E-04,5.60E-04,1.82E-04,7.50E-06,0,7.50E-06,7.50E-06,0.0122,0,0,0,0.0073645,0,0,0,9.20E-04,0,2.20E-06,0.0405,0.005,0.082,0,0.0042561
SWEET POTATO LEAVES,89.2,41,2.18,0.34,0.89,7.38,1.9,5.48,0.033,6.30E-04,0.048,0.04,0.312,0.007,2.60E-04,3.30E-05,2.29E-04,9.00E-07,0.0015,1.12E-04,2.67E-04,0.001003,2.00E-04,1.60E-04,4.90E-05,0,4.90E-05,4.90E-05,0.021,0,0,3.30E-05,0.001725,4.50E-05,0,0.011449,9.60E-04,0,1.09E-04,0.065,0.012,0.134,0,8.82E-04
SWEET POTATO PUFFS,63.02,161,1.36,3.58,1.32,30.72,1.9,7.65,0.057,4.00E-04,0,0,0.248,0.25,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,9.00E-04
SWEET POTATOES,56.28,195.5,1.93,10.01,1.235,30.55,4.55,9.68,0.0455,6.05E-04,0.026,0.059,0.3265,0.18,3.80E-04,1.77E-04,4.81E-04,4.00E-07,0.00585,9.20E-05,9.20E-05,6.97E-04,4.60E-04,1.77E-04,3.20E-05,0,3.20E-05,3.20E-05,0.026,0,0,0,0.005204,0,0,8.00E-06,0.00149,0,4.60E-06,1.0435,3.703,2.863,0,0.0017991
SWEET ROLLS,26.85,361,5.8,14.8,2.05,51.25,1.8,31.73,0.053,0.00202,0.0145,0.2095,0.087,0.561,4.65E-04,7.95E-05,3.58E-04,1.66E-05,2.00E-04,3.67E-04,2.47E-04,0.003003,3.36E-04,5.15E-05,5.25E-05,4.50E-05,1.60E-05,8.40E-05,0.0413,9.50E-08,0,1.00E-06,5.00E-06,2.00E-06,0,7.00E-05,0.00199,0,4.40E-06,3.2145,7.13,1.88,0.033,3.24E-05
Sweetener,22.94,310,0.09,0.45,0.14,76.37,0.2,68.03,0.001,9.00E-05,0.001,0.001,0.004,0.004,1.00E-05,9.00E-06,5.00E-06,1.70E-06,0.017,1.22E-04,1.65E-04,6.89E-04,0,2.34E-04,3.00E-05,0,3.00E-05,3.00E-05,0.0133,0,0,0,9.40E-05,0,0,0,9.80E-04,0,2.25E-05,0,0,0,0,4.68E-05
SWEETENER,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEETENERS,8.75,362.5,0,0,0.02,90.14,0,78.165,5.00E-04,8.00E-05,0,0,0.004,0.0065,1.00E-05,7.50E-06,2.00E-06,5.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEETPOTATO,76.03,91,1.65,0.2,1,21.12,1.8,5,0.022,8.90E-04,0.022,0.049,0.312,0.053,1.80E-04,1.39E-04,4.55E-04,7.00E-07,0.0264,3.70E-05,5.70E-05,7.41E-04,5.23E-04,1.90E-04,1.70E-05,0,1.70E-05,1.70E-05,0.013,0,0,0,0.00479,0,0,0,0.001,0,2.20E-06,0.041,0.008,0.084,0,0.0023949
SWORDFISH,70.82,158,21.555,7.29,1.575,0,0,0,0.0055,4.15E-04,0.032,0.2795,0.4585,0.089,7.20E-04,4.25E-05,1.20E-05,6.30E-05,0,8.20E-05,5.80E-05,0.008507,3.83E-04,5.79E-04,2.00E-06,0,2.00E-06,2.00E-06,0.07125,1.66E-06,3.95E-05,0,0,0,0,0,0.002215,1.53E-05,1.00E-07,1.7565,3.2575,1.2575,0.072,3.74E-05
SYRUP,32.035,269,0,0,0.665,67.295,0,62.5,0.0065,7.00E-05,0.0155,0.008,0.0925,0.0335,3.70E-04,2.00E-05,3.08E-04,7.00E-07,0,3.65E-05,4.55E-05,9.05E-05,1.00E-05,0,0,0,0,0,4.50E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
